,win_per
37,47.5609756097561
6,58.536585365853654
186,26.82926829268293
58,79.26829268292683
259,69.51219512195121
262,62.19512195121951
154,34.146341463414636
157,23.170731707317074
98,51.21951219512195
272,74.39024390243902
267,57.3170731707317
235,53.65853658536586
121,67.07317073170732
152,45.1219512195122
51,51.21951219512195
160,65.85365853658537
3,20.73170731707317
104,42.68292682926829
213,34.146341463414636
175,81.70731707317073
120,59.756097560975604
128,64.63414634146342
119,39.02439024390244
150,58.536585365853654
90,68.29268292682927
127,24.390243902439025
197,69.51219512195121
62,37.80487804878049
152,65.85365853658537
170,48.78048780487805
111,64.63414634146342
165,30.48780487804878
105,43.90243902439025
41,29.268292682926827
91,58.536585365853654
1,59.756097560975604
171,34.146341463414636
18,50.0
43,52.4390243902439
173,32.926829268292686
255,60.97560975609756
166,30.48780487804878
275,50.0
242,50.0
23,23.170731707317074
57,53.65853658536586
20,69.51219512195121
91,69.51219512195121
147,31.70731707317073
160,43.90243902439025
13,43.90243902439025
195,40.243902439024396
169,62.19512195121951
100,58.536585365853654
7,50.0
66,63.41463414634146
48,29.268292682926827
171,54.87804878048781
18,65.85365853658537
282,60.97560975609756
237,68.29268292682927
82,50.0
247,45.1219512195122
176,48.78048780487805
240,68.29268292682927
153,53.65853658536586
60,36.58536585365854
151,52.4390243902439
137,57.3170731707317
55,57.3170731707317
11,57.3170731707317
206,68.29268292682927
194,30.48780487804878
51,69.51219512195121
61,64.63414634146342
42,40.243902439024396
261,59.756097560975604
166,41.46341463414634
207,60.97560975609756
270,35.36585365853659
287,35.36585365853659
178,41.46341463414634
56,36.58536585365854
40,51.21951219512195
46,59.756097560975604
50,70.73170731707317
95,63.41463414634146
169,62.19512195121951
219,30.48780487804878
19,43.90243902439025
159,18.29268292682927
35,60.97560975609756
28,64.63414634146342
189,52.4390243902439
134,30.48780487804878
213,53.03030303030303
259,29.268292682926827
154,23.170731707317074
263,25.609756097560975
96,54.87804878048781
33,34.146341463414636
168,46.34146341463415
218,76.82926829268293
129,50.0
241,52.4390243902439
231,23.170731707317074
21,58.536585365853654
155,40.243902439024396
2,52.4390243902439
139,60.97560975609756
24,68.29268292682927
248,37.80487804878049
124,21.951219512195124
63,40.243902439024396
203,50.0
101,73.17073170731707
229,60.60606060606061
88,67.07317073170732
257,24.390243902439025
75,57.3170731707317
85,43.90243902439025
239,26.82926829268293
84,31.70731707317073
104,57.3170731707317
272,52.4390243902439
126,46.34146341463415
197,31.70731707317073
266,53.65853658536586
137,46.34146341463415
22,74.39024390243902
45,58.536585365853654
64,34.146341463414636
98,52.4390243902439
5,23.170731707317074
217,75.75757575757575
279,31.70731707317073
44,78.04878048780488
41,65.85365853658537
192,35.36585365853659
127,39.02439024390244
47,58.536585365853654
252,25.609756097560975
209,25.609756097560975
133,51.21951219512195
121,48.78048780487805
80,81.70731707317073
167,43.90243902439025
93,29.268292682926827
290,69.51219512195121
120,30.48780487804878
110,89.02439024390245
158,58.536585365853654
36,84.14634146341463
184,18.29268292682927
251,63.41463414634146
232,50.0
193,67.07317073170732
268,69.51219512195121
68,56.09756097560976
94,57.3170731707317
202,30.48780487804878
54,59.756097560975604
124,69.51219512195121
46,48.78048780487805
271,32.926829268292686
245,71.95121951219512
60,62.19512195121951
30,69.51219512195121
212,63.41463414634146
10,47.5609756097561
150,53.65853658536586
247,42.68292682926829
130,24.390243902439025
8,26.82926829268293
59,58.536585365853654
234,54.54545454545454
151,30.48780487804878
83,53.65853658536586
103,25.609756097560975
161,46.34146341463415
108,58.536585365853654
77,31.70731707317073
172,25.609756097560975
132,40.243902439024396
147,67.07317073170732
26,40.243902439024396
99,40.243902439024396
239,50.0
37,47.5609756097561
70,56.09756097560976
39,53.65853658536586
254,56.09756097560976
114,51.21951219512195
115,69.51219512195121
233,75.75757575757575
266,56.09756097560976
126,24.390243902439025
23,74.39024390243902
100,41.46341463414634
65,62.19512195121951
87,39.02439024390244
102,75.60975609756098
204,70.73170731707317
0,67.07317073170732
187,35.36585365853659
128,60.97560975609756
182,67.07317073170732
216,70.73170731707317
179,69.51219512195121
187,29.268292682926827
38,65.85365853658537
84,47.5609756097561
296,53.65853658536586
294,51.21951219512195
32,35.36585365853659
7,75.60975609756098
269,60.97560975609756
116,54.87804878048781
123,46.34146341463415
233,51.21951219512195
264,54.87804878048781
255,57.3170731707317
71,52.4390243902439
208,58.536585365853654
211,59.09090909090909
27,23.170731707317074
115,81.70731707317073
146,58.536585365853654
85,74.39024390243902
201,34.146341463414636
164,71.95121951219512
52,32.926829268292686
292,67.07317073170732
285,18.29268292682927
8,70.73170731707317
139,19.51219512195122
226,21.951219512195124
162,53.65853658536586
73,67.07317073170732
177,65.85365853658537
202,74.39024390243902
196,47.5609756097561
70,50.0
162,47.5609756097561
227,63.41463414634146
21,13.414634146341465
258,39.02439024390244
58,51.21951219512195
113,28.04878048780488
208,32.926829268292686
112,40.243902439024396
293,48.78048780487805
246,75.60975609756098
